TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634592445.237061,0,517.188,674.058,2.49864
1718634592454.236816,0,517.824,674.412,-2.85084
1718634592463.236572,0,518.3,675.529,-15.2791
1718634592472.236328,6.63268,518.394,676.883,-51.6538
1718634592481.236084,11.4,518.076,681.353,-238.399
1718634592490.235840,4.76794,517.412,690.118,-425.144
1718634592499.235596,0,517.529,701.236,-491.649
1718634592508.235352,0,517.9,710.235,-546.997
1718634592517.235107,0,517.571,718.765,-551.842
1718634592526.234863,0,517.529,723.941,-534.292
1718634592535.234619,0,518.7,727.353,-506.156
1718634592544.234375,0,518.659,727.648,-466.107
1718634592553.234131,0,516.941,726.411,-418.909
1718634592562.233887,0,516.482,725.177,-350.061
1718634592571.233398,0,516.8,721.53,-281.028
1718634592580.233154,0,517.176,717.237,-204.98
1718634592589.232910,0,518.211,711.119,-128.932
1718634592598.232666,0,518.618,703.827,-84.3805
1718634592607.232422,0,518.3,695.178,-47.5244
1718634592616.232178,7.44132,518.3,687.768,-91.0372
1718634592625.231934,12.8,518.394,682.06,-225.086
1718634592634.231689,5.35938,518.688,680.53,-347.841
1718634592643.231445,0,518.712,681.41,-450.438
1718634592652.231201,0,517.983,683,-537.593
1718634592661.230957,0,518.011,683,-527.307
1718634592670.230713,6.74181,518.418,683.94,-517.022
1718634592679.230469,11.6,517.395,687.35,-870.054
1718634592688.230225,11.6,516.6,697.99,-1311.99
1718634592697.229980,11.4838,516.177,715.46,-1743.78
1718634592706.229736,11.4,516.828,735.339,-2171.05
1718634592715.229492,11.4,516.549,752.639,-2451.94
1718634592724.229248,11.4,514.612,766.519,-2471.29
1718634592733.229004,4.7766,515.434,765.602,-2388.9
1718634592742.228760,0,516.976,730.567,-1663.24
1718634592751.228516,0,516.93,672.461,-950.722
1718634592760.228027,0,516.776,619.679,-742.877
1718634592769.227783,0,517.529,591.484,-535.025
1718634592778.227539,6.62155,517.571,584.409,-454.808
1718634592787.227295,11.4,518.186,584.121,-431.409
1718634592796.227051,11.4,517.844,585.757,-563.776
1718634592805.226807,11.4,516.998,594.696,-872.018
1718634592814.226563,11.9807,517.665,611.271,-1160.22
1718634592823.226318,5.19929,518.104,637.149,-1387.46
1718634592832.226074,0,518.712,661.861,-1599.03
1718634592841.225830,0,518.077,678.634,-1202.14
