TimeStamp,D1_Commanded_Torque,IVT_Result_I,D2_Motor_Speed,D1_DC_Bus_Voltage
1718626746322.101318,24.8,-4402.27,755.93,511.283
1718626746331.100830,26.0624,-5368.9,789.269,509.309
1718626746340.100098,26.4,-6087.13,717.021,509.617
1718626746349.099609,24.5068,-5811.65,512.277,512.879
1718626746358.098877,21.2393,-3644.72,248.001,515.352
1718626746367.098145,20.5,-1804.46,54.2988,516.239
1718626746376.097656,18.4496,-1038.64,-8.87283,516.536
1718626746385.096924,17.9,-272.847,-1.45128,517.006
1718626746394.096191,17.9,-347.399,65.9619,516.523
1718626746403.095703,17.9,-515.69,234.524,515.997
1718626746412.094971,21.9993,-1381.55,467.596,515.02
1718626746421.094238,27.4354,-2579.8,658.051,511.756
1718626746430.093750,28.6,-3993,763.135,510.806
1718626746439.093018,28.4424,-5663.72,825.912,509.375
1718626746448.092285,28.4,-6854.99,811.508,507.449
1718626746457.091797,26.5089,-6463.51,645.736,509.811
1718626746466.091064,26,-6051.09,368.934,514.11
1718626746475.090332,22.9275,-3589.34,124.155,516.38
1718626746484.089844,22.1,-1127.52,17.4609,516.394
1718626746493.089111,21.3123,-540.489,12.8548,516.741
1718626746502.088379,18.4222,-458.596,56.8832,515.985
1718626746511.087891,17.7,-652.718,179.847,514.756
1718626746520.087158,20.5349,-1059.04,379.474,514.535
1718626746529.086426,21.3,-1786.8,569.685,513.586
1718626746538.085938,21.3,-3130.43,700.674,511.95
1718626746547.085205,21.3,-4426.11,770.54,510.386
1718626746556.084473,25.7868,-5372.38,797.789,509.156
1718626746565.083984,26.8583,-6318.68,723.584,509.408
1718626746574.083252,26.8,-5262.56,518.373,512.606
1718626746583.082520,23.8883,-3979.52,260.255,513.865
1718626746592.082031,23.1,-2590.22,69.5781,515.422
1718626746601.081299,23.1,-1119.08,8.1888,516.741
1718626746610.080566,23.1,-368.863,22.5929,516.46
1718626746619.080078,20.268,-487.657,88.0718,515.862
1718626746628.079346,19.5,-747.823,244.017,516.038
1718626746637.078613,21.7022,-1478.48,456.615,514.241
1718626746646.078125,25.0526,-2209.15,640.432,511.882
1718626746655.077393,25.8,-3685.83,740.593,510.457
1718626746664.076660,25.8,-5247.65,804.861,509.83
1718626746673.076172,25.8,-6036.93,806.771,508.789
1718626746682.075439,25.8,-6454.5,678.899,509.596
1718626746691.074707,25.8,-5615.43,416.934,513.572
1718626746700.074219,22.2629,-3257.55,158.996,515.235
1718626746709.073486,18.4706,-1315.17,14.5413,516.447
1718626746718.072754,17.7,-760.365,-10.2525,516.123
1718626746727.072266,17.3857,-210,19.3132,516.037
1718626746736.071533,17.3,-396.874,137.24,515.998
1718626746745.070801,21.8567,-582.258,352.586,514.618
1718626746754.070313,23.1,-1719.67,583.758,514
1718626746763.069580,25.378,-3116.8,739.951,511.842
1718626746772.069092,26,-4510.68,817.089,510.058
1718626746781.068359,24.4293,-5901.97,847.811,509.565
1718626746790.067627,23.2932,-6449.81,754.895,509.635
1718626746799.067139,23.1,-5366.72,513.526,512.127
1718626746808.066406,18.8602,-4201.71,225.875,515.524
1718626746817.065674,17.7,-2427.14,33.6013,516.128
1718626746826.065186,17.7,-652.527,-16.6956,515.765
1718626746835.064453,17.7,-275.834,0.193359,515.296
1718626746844.063721,14.6391,-281.991,95.2396,516.111
1718626746853.063232,17.6455,-618.994,302.055,514.848
1718626746862.062500,18.7,-1116.2,551.75,513.865
1718626746871.061768,21.8386,-2122.25,722.906,511.173
1718626746880.061279,22.7,-3746.87,803.715,509.765
1718626746889.060547,23.7199,-5257.36,844.222,510.441
1718626746898.059814,24,-5913.84,791.372,510.329
1718626746907.059326,23.8485,-6566,595.691,511.716
1718626746916.058594,23.8,-4495.29,320.203,514.385
1718626746925.057861,20.4279,-2438.14,127.016,515.906
1718626746934.057373,18.2454,-1215.72,70.9426,515.998
1718626746943.056641,17.9,-644.033,78.7674,515.9
1718626746952.055908,18.3704,-460.397,124.373,515.765
1718626746961.055420,18.5,-749.732,248.961,514.825
1718626746970.054688,18.5,-1193.98,435.894,515.275
1718626746979.053955,18.5,-2161.85,600.209,512.942
1718626746988.053467,21.6349,-3124,697.773,511.6
1718626746997.052734,22.1865,-4054.62,754.954,511.936
1718626747006.052002,22.1,-4979.75,781.759,509.881
1718626747015.051514,22.4134,-5100.67,704.296,509.876
1718626747024.050781,22.5,-4999.43,509.369,512.955
1718626747033.050049,19.9933,-3887.17,267.288,516.082
1718626747042.049561,19.3,-1984.22,87.1905,517.269
1718626747051.048828,17.7336,-659.536,28.9186,516.123
1718626747060.048096,17.3,-463.352,35.4242,516.374
1718626747069.047607,17.3,-329.6,94.0846,515.658
1718626747078.046875,18.5528,-669.772,247.656,515.973
1718626747087.046143,18.9,-1009.94,465.856,516.064
1718626747096.045654,21.8748,-2229.09,648.807,513.213
1718626747105.044922,22.7,-3552.42,750.703,512.034
1718626747114.044189,22.7,-4617.23,807.907,510.22
1718626747123.043701,22.7,-5479.39,809.898,508.83
1718626747132.042969,22.074,-5648.81,682.812,510.614
1718626747141.042236,19.7091,-4462.33,457.234,513.95
1718626747150.041748,19.1,-3210.56,194.857,515.503
1718626747159.041016,15.5795,-1736.48,38.5488,516.036
1718626747168.040283,14.6,-269,10.0269,516.2
